,AF,CF,dox,MF,ctrl,max_s
0,False,False,False,True,False,0.3107717972007358
1,True,True,False,True,False,0.9051497275143114
2,True,True,False,True,False,0.8419369134889737
3,False,False,False,True,False,0.437252383813912
4,False,False,False,True,False,0.4874927735768073
5,False,False,False,False,False,-0.0090236837713779
6,True,True,False,True,False,1.081625205719324
7,False,True,False,True,False,0.3925259517976631
8,False,False,False,False,False,-0.003907881224566
9,False,False,False,False,False,0.084309874736741
10,False,False,False,False,False,0.2252663608528474
11,False,False,False,False,False,0.0044463915869495
12,False,False,False,False,False,0.0179971568201456
13,False,False,False,True,False,1.1314342047859118
14,False,False,False,False,False,0.0222209035447364
15,False,False,False,False,False,-0.0505767511136492
16,False,False,False,False,False,0.0201972097808633
17,False,False,False,False,False,-0.0416562119201275
18,False,False,False,False,False,0.0038490285012075
19,False,False,False,True,False,1.1948029574363517
20,False,False,False,False,False,0.0063612828958965
21,False,False,False,True,False,0.6666579120673777
22,False,False,False,False,False,0.0053273996737185
23,False,False,False,False,False,0.018815355647564
24,True,True,False,True,False,0.741335237747963
25,True,True,False,True,False,1.4092787027237828
26,True,True,False,True,False,1.6872676939966138
27,False,False,False,True,False,0.2996707643249542
28,True,True,False,True,False,1.192819026366169
29,False,False,False,True,False,0.8819789648067252
30,True,True,False,True,False,1.7185334047270482
31,True,True,False,True,False,1.2758360367302355
32,False,False,False,True,False,0.8850318589801415
33,True,True,False,True,False,1.138414984616419
34,True,True,False,True,False,1.815076258239125
35,True,True,False,True,False,1.5135899060425375
36,True,True,False,True,False,1.2987964964782388
37,False,False,False,False,False,-0.057825964417665
38,True,False,False,True,False,0.4062744778536169
39,False,False,False,True,False,0.6895616339052923
40,False,False,False,False,False,0.1524388802399717
41,True,True,False,True,False,0.9384516764694258
42,False,False,False,True,False,0.5285686755524394
43,True,True,False,True,False,1.208415921694728
44,False,False,False,False,False,0.1131328786651471
45,False,False,False,True,False,1.1160438356128195
46,False,False,False,True,False,0.6550016231262734
47,False,False,False,True,False,0.6121185656579379
48,False,False,False,True,False,0.9775359699559786
49,False,False,False,True,False,0.5510651043772434
50,True,True,False,True,False,1.112257193414318
51,False,False,False,False,False,0.0188693166447309
52,True,True,False,True,False,0.5790655689667253
53,False,False,False,True,False,0.3612888193828911
54,False,False,False,True,False,1.0259514917746204
55,True,True,False,True,False,1.1469850156140584
56,False,True,False,True,False,1.283077100539007
57,True,True,False,True,False,0.7436045795747215
58,False,True,False,True,False,0.359958148314579
59,False,False,False,False,False,0.1806694887761253
60,True,False,False,True,False,0.613408185871102
61,False,False,False,False,False,0.1200108275054375
62,False,True,False,True,False,0.7530307428022354
63,False,False,False,True,False,0.5489057766514159
64,False,False,False,True,False,0.2731860139762222
65,True,True,False,True,False,1.317579168798358
66,True,True,False,True,False,0.9860561140685984
67,True,True,False,True,False,0.7648415826641899
68,False,False,False,False,False,0.0128709165104948
69,True,True,False,True,False,1.3531098523429643
70,False,False,False,True,False,0.5557760863120582
71,True,True,False,True,False,1.338679604570392
72,False,True,False,True,False,0.4415163346520074
73,True,True,False,True,False,1.2906374662249982
74,False,False,False,False,False,0.0136035352760793
75,False,False,False,False,False,0.155046765416184
76,False,True,False,True,False,0.9319728877354206
77,True,False,False,True,False,0.7325092468683053
78,False,False,False,False,False,0.1475623793071573
79,False,False,False,False,False,-0.0022782819427242
80,True,True,False,True,False,1.313601931763168
81,False,False,False,False,False,0.0800041541691651
82,True,True,False,True,False,1.085203012098383
83,False,False,False,True,False,0.2617727338438749
84,False,True,False,True,False,0.6568444729956047
85,False,False,False,True,False,0.800655821178859
86,False,False,False,False,False,0.0916889972907337
87,True,True,False,True,False,0.659592023029556
88,False,False,False,True,False,1.1580850940367298
89,False,False,False,True,False,1.1054840424690549
90,False,False,False,True,False,0.2767643939007118
91,False,False,False,True,False,0.9912819409456428
92,False,False,False,True,False,0.7935539207132262
93,False,False,False,False,False,0.1127130690019746
94,True,True,False,True,False,1.6360311333624082
